all capital city, all city spatial_region, all capital spatial_region
all capital city, all city spatial_region, some-not capital spatial_region
all capital city, all city spatial_region, no capital spatial_region
all capital city, all city spatial_region, some capital spatial_region
all capital city, all harbour_city city, all capital harbour_city
all capital city, all harbour_city city, some-not capital harbour_city
all capital city, all harbour_city city, no capital harbour_city
all capital city, all harbour_city city, some capital harbour_city
all city capital, all city spatial_region, all capital spatial_region
all city capital, all city spatial_region, some-not capital spatial_region
all city capital, all city spatial_region, no capital spatial_region
all city capital, all city spatial_region, some capital spatial_region
all city capital, all harbour_city city, all capital harbour_city
all city capital, all harbour_city city, some-not capital harbour_city
all city capital, all harbour_city city, no capital harbour_city
all city capital, all harbour_city city, some capital harbour_city
all capital city, some-not city harbours, all capital harbours
all capital city, some-not city harbours, some-not capital harbours
all capital city, some-not city harbours, no capital harbours
all capital city, some-not city harbours, some capital harbours
all capital city, some-not spatial_region city, all capital spatial_region
all capital city, some-not spatial_region city, some-not capital spatial_region
all capital city, some-not spatial_region city, no capital spatial_region
all capital city, some-not spatial_region city, some capital spatial_region
all city capital, some-not city harbours, all capital harbours
all city capital, some-not city harbours, some-not capital harbours
all city capital, some-not city harbours, no capital harbours
all city capital, some-not city harbours, some capital harbours
all city capital, some-not spatial_region city, all capital spatial_region
all city capital, some-not spatial_region city, some-not capital spatial_region
all city capital, some-not spatial_region city, no capital spatial_region
all city capital, some-not spatial_region city, some capital spatial_region
all capital city, no city camping_place, all capital camping_place
all capital city, no city camping_place, some-not capital camping_place
all capital city, no city camping_place, no capital camping_place
all capital city, no city camping_place, some capital camping_place
all capital city, no ship city, all capital ship
all capital city, no ship city, some-not capital ship
all capital city, no ship city, no capital ship
all capital city, no ship city, some capital ship
all city capital, no city camping_place, all capital camping_place
all city capital, no city camping_place, some-not capital camping_place
all city capital, no city camping_place, no capital camping_place
all city capital, no city camping_place, some capital camping_place
all city capital, no ship city, all capital ship
all city capital, no ship city, some-not capital ship
all city capital, no ship city, no capital ship
all city capital, no ship city, some capital ship
all capital city, some city harbours, all capital harbours
all capital city, some city harbours, some-not capital harbours
all capital city, some city harbours, no capital harbours
all capital city, some city harbours, some capital harbours
all capital city, some universities city, all capital universities
all capital city, some universities city, some-not capital universities
all capital city, some universities city, no capital universities
all capital city, some universities city, some capital universities
all city capital, some city harbours, all capital harbours
all city capital, some city harbours, some-not capital harbours
all city capital, some city harbours, no capital harbours
all city capital, some city harbours, some capital harbours
all city capital, some universities city, all capital universities
all city capital, some universities city, some-not capital universities
all city capital, some universities city, no capital universities
all city capital, some universities city, some capital universities
some-not capital city, all city spatial_region, all capital spatial_region
some-not capital city, all city spatial_region, some-not capital spatial_region
some-not capital city, all city spatial_region, no capital spatial_region
some-not capital city, all city spatial_region, some capital spatial_region
some-not capital city, all harbour_city city, all capital harbour_city
some-not capital city, all harbour_city city, some-not capital harbour_city
some-not capital city, all harbour_city city, no capital harbour_city
some-not capital city, all harbour_city city, some capital harbour_city
some-not city capital, all city spatial_region, all capital spatial_region
some-not city capital, all city spatial_region, some-not capital spatial_region
some-not city capital, all city spatial_region, no capital spatial_region
some-not city capital, all city spatial_region, some capital spatial_region
some-not city capital, all harbour_city city, all capital harbour_city
some-not city capital, all harbour_city city, some-not capital harbour_city
some-not city capital, all harbour_city city, no capital harbour_city
some-not city capital, all harbour_city city, some capital harbour_city
some-not capital city, some-not city harbours, all capital harbours
some-not capital city, some-not city harbours, some-not capital harbours
some-not capital city, some-not city harbours, no capital harbours
some-not capital city, some-not city harbours, some capital harbours
some-not capital city, some-not spatial_region city, all capital spatial_region
some-not capital city, some-not spatial_region city, some-not capital spatial_region
some-not capital city, some-not spatial_region city, no capital spatial_region
some-not capital city, some-not spatial_region city, some capital spatial_region
some-not city capital, some-not city harbours, all capital harbours
some-not city capital, some-not city harbours, some-not capital harbours
some-not city capital, some-not city harbours, no capital harbours
some-not city capital, some-not city harbours, some capital harbours
some-not city capital, some-not spatial_region city, all capital spatial_region
some-not city capital, some-not spatial_region city, some-not capital spatial_region
some-not city capital, some-not spatial_region city, no capital spatial_region
some-not city capital, some-not spatial_region city, some capital spatial_region
some-not capital city, no city camping_place, all capital camping_place
some-not capital city, no city camping_place, some-not capital camping_place
some-not capital city, no city camping_place, no capital camping_place
some-not capital city, no city camping_place, some capital camping_place
some-not capital city, no ship city, all capital ship
some-not capital city, no ship city, some-not capital ship
some-not capital city, no ship city, no capital ship
some-not capital city, no ship city, some capital ship
some-not city capital, no city camping_place, all capital camping_place
some-not city capital, no city camping_place, some-not capital camping_place
some-not city capital, no city camping_place, no capital camping_place
some-not city capital, no city camping_place, some capital camping_place
some-not city capital, no ship city, all capital ship
some-not city capital, no ship city, some-not capital ship
some-not city capital, no ship city, no capital ship
some-not city capital, no ship city, some capital ship
some-not capital city, some city harbours, all capital harbours
some-not capital city, some city harbours, some-not capital harbours
some-not capital city, some city harbours, no capital harbours
some-not capital city, some city harbours, some capital harbours
some-not capital city, some universities city, all capital universities
some-not capital city, some universities city, some-not capital universities
some-not capital city, some universities city, no capital universities
some-not capital city, some universities city, some capital universities
some-not city capital, some city harbours, all capital harbours
some-not city capital, some city harbours, some-not capital harbours
some-not city capital, some city harbours, no capital harbours
some-not city capital, some city harbours, some capital harbours
some-not city capital, some universities city, all capital universities
some-not city capital, some universities city, some-not capital universities
some-not city capital, some universities city, no capital universities
some-not city capital, some universities city, some capital universities
no camping_place city, all city spatial_region, all camping_place spatial_region
no camping_place city, all city spatial_region, some-not camping_place spatial_region
no camping_place city, all city spatial_region, no camping_place spatial_region
no camping_place city, all city spatial_region, some camping_place spatial_region
no camping_place city, all harbour_city city, all camping_place harbour_city
no camping_place city, all harbour_city city, some-not camping_place harbour_city
